Batch,Phase,Name,Time,Duration_Sec,Duration_Min
44245,1,Inicio,2023-02-12 07:43:30,115.0,00:01:55
44245,1,Inicio,2023-02-12 15:29:40,20.0,00:00:20
44245,1,Inicio,2023-02-12 19:53:20,120.0,00:02:00
44245,1,Inicio,2023-02-12 23:17:30,120.0,00:02:00
44245,1,Inicio,2023-02-13 03:07:10,120.0,00:02:00
44245,1,Inicio,2023-02-13 06:11:10,115.0,00:01:55
44245,1,Inicio,2023-02-13 20:24:40,410.0,00:06:50
44245,1,Inicio,2023-02-13 22:33:35,70.0,00:01:10
44245,1,Inicio,2023-02-14 03:33:55,10.0,00:00:10
44245,2,Medicion,2023-02-11 08:16:25,7370.0,02:02:50
44245,2,Medicion,2023-02-11 11:24:20,5925.0,01:38:45
44245,2,Medicion,2023-02-11 20:56:25,10165.0,02:49:25
44245,2,Medicion,2023-02-12 04:31:55,8010.0,02:13:30
44245,2,Medicion,2023-02-12 07:45:25,5785.0,01:36:25
44245,2,Medicion,2023-02-12 15:30:00,10265.0,02:51:05
44245,2,Medicion,2023-02-12 19:55:20,6560.0,01:49:20
44245,2,Medicion,2023-02-12 23:19:30,9290.0,02:34:50
44245,2,Medicion,2023-02-13 03:09:10,5755.0,01:35:55
44245,2,Medicion,2023-02-13 06:13:05,9365.0,02:36:05
44245,2,Medicion,2023-02-13 20:31:30,19245.0,05:20:45
