phase3_duration,phase3_Peso_avg,phase3_Presion_avg,phase3_Presion_max,phase3_Visco_max,phase3_Densidad_max
21430.0,4409.238,1.2608618,2.8819447,900.0,64876.69
5420.0,21274.807,1.7027795,3.0642362,8530.0,63586.004
5460.0,18066.637,1.651462,3.1047456,920.0,62073.35
4260.0,22789.889,1.7888856,3.23117,846.7058,60483.406
5055.0,19373.918,1.6761358,3.0594137,848.035,61714.633
16865.0,5344.213,1.3006858,3.096065,813.6275,61407.76
6100.0,66.592026,0.12509742,0.93076533,0.0,25529.963
3855.0,26270.773,1.7194914,2.7254755,800.0,68504.29
7115.0,12779.588,1.5008249,3.1510417,850.0,62215.992
4830.0,18755.207,1.6802769,3.101852,800.0,61944.1
7115.0,12779.588,1.5008249,3.1510417,850.0,62215.992
4830.0,18755.207,1.6802769,3.101852,800.0,61944.1
12365.0,194.2235,1.0416766,3.1463547,0.0,57672.496
35.0,58810.79,2.876662,2.879051,0.0,58872.27
12310.0,6564.9565,1.2834831,2.8269677,0.0,72876.44
10.0,2021.1582,0.63346475,0.74898964,0.0,3361.4568
12310.0,6564.9565,1.2834831,2.8269677,0.0,72876.44
10.0,2021.1582,0.63346475,0.74898964,0.0,3361.4568
85.0,57209.355,3.0535588,3.0555558,0.0,57324.65
1620.0,401.02402,0.99382347,3.2031252,0.0,56915.973
85.0,57209.355,3.0535588,3.0555558,0.0,57324.65
1620.0,401.02402,0.99382347,3.2031252,0.0,56915.973
146435.0,512.72675,1.159775,2.9050927,0.0,63733.68
5175.0,17684.898,1.5827764,2.9358768,790.0,62703.76
5175.0,17684.898,1.5827764,2.9358768,790.0,62703.76
2475.0,36280.555,2.1349468,3.0748699,850.0,62388.64
10715.0,8536.744,1.3329691,2.8456712,856.9438,62361.06
19480.0,4546.4546,1.26411,3.096065,878.5405,60024.51
10715.0,8536.744,1.3329691,2.8456712,856.9438,62361.06
19480.0,4546.4546,1.26411,3.096065,878.5405,60024.51
12435.0,6934.91,0.6003782,2.9186437,739.0,70455.33
10.0,57751.023,3.1007423,3.1010191,0.0,57761.527
12435.0,6934.91,0.6003782,2.9186437,739.0,70455.33
10.0,57751.023,3.1007423,3.1010191,0.0,57761.527
66415.0,1358.1322,1.1643075,3.107639,757.47235,62638.863
66415.0,1358.1322,1.1643075,3.107639,757.47235,62638.863
5155.0,17939.342,1.6201644,3.054828,795.8222,61805.027
2960.0,31412.025,1.9735653,3.041088,850.0,63259.926
5155.0,17939.342,1.6201644,3.054828,795.8222,61805.027
2960.0,31412.025,1.9735653,3.041088,850.0,63259.926
2935.0,30709.28,1.9989469,3.1481483,800.0,62032.508
60.0,56538.457,3.1154747,3.1246045,0.0,56603.76
65.0,56004.266,3.128422,3.1336808,0.0,56126.066
11590.0,7713.3394,1.3675314,3.0815973,609.5,61313.105
10730.0,8333.715,1.306382,2.6649306,750.0,71354.94
6185.0,14991.42,1.5095099,2.9021993,780.0,62436.125
10730.0,8333.715,1.306382,2.6649306,750.0,71354.94
6185.0,14991.42,1.5095099,2.9021993,780.0,62436.125
12565.0,7815.9316,1.1480796,3.1221066,788.0,62204.81
835.0,60679.79,2.9869778,3.0150464,0.0,62129.58
2630.0,34700.305,2.0038972,2.9219277,841.4833,63566.79
835.0,60679.79,2.9869778,3.0150464,0.0,62129.58
2630.0,34700.305,2.0038972,2.9219277,841.4833,63566.79
5655.0,15930.79,1.5511906,2.9861112,832.0,62424.9
4000.0,23048.861,1.8377972,3.2089121,590.0,61647.277
6045.0,14914.247,1.5633706,3.0873845,0.0,61371.703
2375.0,42191.008,2.087723,2.7690973,745.0,72047.75
6045.0,14914.247,1.5633706,3.0873845,0.0,61371.703
2375.0,42191.008,2.087723,2.7690973,745.0,72047.75
10935.0,8376.432,1.3529688,2.945602,780.0,61788.67
10935.0,8376.432,1.3529688,2.945602,780.0,61788.67
17470.0,4398.247,1.2315382,2.395282,0.0,64166.816
4970.0,20201.537,1.6190042,2.834798,750.0,64708.71
3985.0,25700.254,1.8406615,3.107639,870.0,62886.535
40120.0,1939.0386,1.1442635,3.0899372,2281.717,62369.387
